Timestamp,Frame,Detection_ID,X_m,Y_m,Z_m,Roll_rad,Pitch_rad,Yaw_rad,Qx,Qy,Qz,Qw,Confidence,Num_Points,Gimbal_Lock,Processing_Time_ms
2026-02-26T13:51:36.165542,2,0,0.338584,1.170747,0.215675,0.000000,-1.512778,1.539553,0.476448,0.521045,0.507350,-0.494070,0.8594,973933,Y,416.54
2026-02-26T13:51:36.165668,2,1,0.333746,1.170867,0.224414,0.000000,-1.547719,1.540445,0.486084,0.512765,0.498551,-0.502236,0.8950,1359906,Y,480.48
2026-02-26T13:51:36.165748,2,2,0.343659,1.170375,0.206275,1.531680,-1.394941,-3.071221,0.443981,0.547230,0.536468,-0.464352,0.9131,616373,N,343.07
2026-02-26T13:51:36.165828,2,3,0.339223,1.170720,0.214507,0.000000,-1.505760,1.539537,0.474513,0.522627,0.509159,-0.492398,0.8843,927866,Y,389.18
2026-02-26T13:51:36.165922,2,5,0.361387,1.166145,0.211649,-1.560874,-0.150414,-3.121982,0.060269,-0.701044,0.709082,0.045915,0.9067,113489,N,232.24
2026-02-26T13:51:36.166016,2,6,0.332408,1.170875,0.228020,0.000000,-1.556394,1.540686,0.488347,0.510543,0.496453,-0.504378,0.8154,1452260,Y,503.38
2026-02-26T13:51:36.166107,2,7,0.338584,1.170747,0.215675,0.000000,-1.512778,1.539553,0.476448,0.521045,0.507350,-0.494070,0.8545,973933,Y,405.82
2026-02-26T13:51:36.166197,2,9,0.342362,1.170507,0.208662,1.521223,-1.454341,-3.060479,0.460284,0.534097,0.522154,-0.479827,0.9092,702673,N,352.32
2026-02-26T13:51:36.166287,2,11,0.333073,1.170869,0.226180,0.000000,-1.552027,1.540555,0.487204,0.511665,0.497511,-0.503304,0.8091,1406524,Y,482.02
2026-02-26T13:51:36.166376,2,12,0.358268,1.167775,0.204975,-1.562869,-0.157577,-3.121159,0.063045,-0.701506,0.708231,0.048200,0.8726,163696,N,254.92
